"id","title"
6858172,Clot regression effects of rivaroxaban in the treatment of venous thromboembolism in patients with cancer (CRERIT VTE cancer) study protocol
6862609,Involvement of Receptor for Advanced Glycation Endproducts in Hypertensive Disorders of Pregnancy
6827212,The effect of enteral bolus feeding on regional intestinal oxygen saturation in preterm infants is age dependent a longitudinal observational study
6853217,Active duty and ex serving military personnel with post traumatic stress disorder treated with psychological therapies systematic review and meta analysis
6876168,Cigarette smoke exposure induces expression of the pneumococcal erm(B) macrolide resistance gene
6829856,Job satisfaction of public and private primary care physicians in Malaysia analysis of findings from QUALICO PC
6887001,Safety and efficacy of tranexamic acid in paediatric cardiac surgery study protocol for a double blind randomised controlled trial
6856655,"Stem Cells, Self Renewal, and Lineage Commitment in the Endocrine System"
6878651,Prostate Cancer associated SPOP mutations enhance cancer cell survival and docetaxel resistance by upregulating Caprin1 dependent stress granule assembly
6879896,Proteomics analysis of the matrisome from MC38 experimental mouse liver metastases
6880412,CircRNA expression profile and functional analysis in testicular tissue of patients with non obstructive azoospermia
6865101,"Signal averaging improves signal to noise in OCT images But which approach works best, and when?"
6861067,After the Astana declaration is comprehensive primary health care set for success this time?
6848080,Symmetrical electrophysiological brain responses to unilateral and bilateral auditory stimuli suggest disrupted spatial processing in schizophrenia
6882513,Outcomes of Refractory and Relapsed Hodgkin Lymphoma With Autologous Stem Cell Transplantation A Single Institution Experience
6836504,Evaluating the role of RAD52 and its interactors as novel potential molecular targets for hepatocellular carcinoma
6876108,Two novel mutations in the ALPL gene of unrelated Chinese children with Hypophosphatasia case reports and literature review
6863714,"First record of infestation by nasal leeches, Limnatis nilotica (Hirudinida, Praobdellidae), from cattle in Italy"
6875019,"Comparative Efficacy and Safety of Metformin, Glyburide, and Insulin in Treating Gestational Diabetes Mellitus A Meta Analysis"
6855560,Efficacy and safety of HT080 for lower urinary tract symptoms associated with benign prostatic hyperplasia
6860734,Patients’ perspectives on how to decrease the burden of treatment a qualitative study of HIV care in sub Saharan Africa
6861174,Unexpected Lung and Brain Metastases 9 Years After Thyroid Lobectomy for Follicular Adenoma A Case Report
6883537,The effect of varying multidrug resistence (MDR) definitions on rates of MDR gram negative rods
6834818,Adult onset primary Ewing’s sarcoma of the right atrium a case report
6880356,"Influence of volatile anesthesia versus total intravenous anesthesia on chronic postsurgical pain after cardiac surgery using the Initiative on Methods, Measurement, and Pain Assessment in Clinical Trials criteria study protocol for a prospective randomized controlled trial"
6856645,The Combination of MK 2206 and WZB117 Exerts a Synergistic Cytotoxic Effect Against Breast Cancer Cells
6864017,"Targeted temperature management guided by the severity of hyperlactatemia for out of hospital cardiac arrest patients a post hoc analysis of a nationwide, multicenter prospective registry"
6874118,Analyzing the Effects of Intrauterine Hypoxia on Gene Expression in Oocytes of Rat Offspring by Single Cell Transcriptome Sequencing
6842520,Effects of motor imagery training of Parkinsons disease a protocol for a randomized clinical trial
6883906,Extensive hidradenitis suppurativa with dorsal foot involvement a case report
6861348,Development and validation of a protocol for documentation of obstetric perineal lacerations
6851234,Effect of Biologic Material Reinforcement on Surgical Anastomosis After Gastrectomy—A Pilot Study
6875887,Sleep Quality in Iranian Hemodialysis Patients A Systematic Review and Meta analysis
6839081,Health related quality of life and its correlates among people with depression attending outpatient department in Ethiopia a cross sectional study
6861387,The Effect of Growth Hormone on the Clinical Outcomes of Poor Ovarian Reserve Patients Undergoing in vitro Fertilization/Intracytoplasmic Sperm Injection Treatment A Retrospective Study Based on POSEIDON Criteria
6839515,Genomics of host pathogen interactions challenges and opportunities across ecological and spatiotemporal scales
6875362,Lead Poisoning and Intelligence A Search for Cause and Effect in the Scottish Mental Surveys
6876669,Omental Tissue Mediated Tumorigenesis of Gastric Cancer Peritoneal Metastases
6880184,"Pharmacokinetic/pharmacodynamic modeling and simulation of dotinurad, a novel uricosuric agent, in healthy volunteers"
6856110,Identification and targeted management of a neurodegenerative disorder caused by biallelic mutations in SLC5A6
6871359,Cost effectiveness of reflex laboratory based cryptococcal antigen screening for the prevention and treatment of cryptococcal meningitis in Botswana
6884840,An evaluation of randomized controlled trials on nutraceuticals containing traditional Chinese medicines for diabetes management a systematic review
6861553,Prevention of Alzheimers disease by treating mild cognitive impairment with combinations chosen from eight available drugs
